,word,count
2317,2nd,104
22638,letting,104
27363,per,104
34337,test,104
11225,closed,104
9896,break,104
17823,gps,104
11183,clear,104
26634,original,104
13485,disaster,104
3760,4k,104
34883,tomorrow,103
12578,daily,103
10648,cash,103
27806,playlists,103
13463,disable,103
15861,fake,103
23776,mbp,103
36384,usually,103
29297,quite,103
30368,responding,103
27163,passcode,102
34508,third,102
28626,provide,102
27614,pick,102
11235,cloud,102
18388,hanging,101
34003,talking,101
34504,thinking,101
27367,percentage,101
24472,moment,101
20219,inside,101
10634,carrier,100
31622,select,100
10207,business,100
15476,except,100
6829,activity,100
17264,gave,100
19044,honestly,99
30942,ruining,99
8971,batería,99
28089,por,99
34732,tips,99
37059,voicemail,99
36752,verify,99
36902,view,98
33281,straight,98
13164,details,98
23051,loop,98
31306,saved,98
23414,machine,98
32566,social,98
34538,tho,98
7662,anybody,98
8005,appstore,97
6844,actualización,97
25498,noise,97
24598,moving,97
27805,playlist,97
27220,pause,97
32158,silent,97
15460,exactly,97
16184,file,96
32487,sms,96
23096,lots,96
32256,site,96
15497,exclamation,96
19916,important,96
14487,earlier,96
4726,60,95
29833,record,95
23201,lte,95
9736,boot,95
25548,nor,95
26607,ordered,94
22438,lately,94
13473,disappear,94
16527,folder,94
36269,upset,93
31630,self,93
32132,signed,93
25524,nonsense,93
1498,1st,93
19247,huge,93
25954,não,93
10856,chance,92
656,125607,92
11678,confused,92
7677,anytime,92
39048,yep,92
18441,hardware,92
17977,group,92
15244,especially,92
22996,logged,92
23217,luck,92
16582,forced,91
38170,world,91
32126,signal,91
34153,tech,91
6270,99,91
19997,including,91
20471,ios1103,91
37952,window,91
33748,switched,90
19549,icons,90
16995,funny,90
30423,restoring,90
33142,stays,90
11397,com,90
10682,caused,90
34029,tap,90
9996,bruh,90
27011,pages,90
28445,probably,89
214,1000,89
31478,screens,89
18364,hand,89
33137,status,89
12869,definitely,89
29556,rather,89
22747,light,89
15659,extra,89
35081,transfer,89
5393,70,89
31680,sense,89
27809,plays,89
13151,destroyed,89
25715,nowhere,88
31170,sad,88
10413,calculator,88
16302,fixit,88
12089,cracked,88
29844,recover,88
32728,sorted,88
29294,quit,88
6654,absolute,88
9715,book,87
7384,alright,87
26497,opened,87
30123,remember,87
27078,para,87
32004,shortcut,87
19142,house,87
11822,continue,87
17930,green,87
27031,pair,86
11187,clearly,86
10890,chargers,86
8967,bateria,86
16047,feels,86
21178,je,86
6151,90,86
9309,beyond,86
18693,helpful,85
30639,ring,85
7681,anywhere,85
16607,forgot,85
32831,speak,85
8788,backed,85
26566,options,85
33164,step,85
12398,cuz,85
37980,wireless,84
22392,landscape,84
25122,needed,84
32410,slowed,84
36017,unlocked,84
13132,despite,84
16534,followed,84
17571,gift,83
30307,resets,83
9225,below,83
7795,appearing,83
28453,problema,83
35829,unacceptable,83
21939,kindly,83
24259,miss,83
27388,perfect,83
27194,patch,83
25091,ne,82
35201,tripping,82
25360,nightmare,82
5828,80,82
29962,refresh,82
6875,adapter,82
15569,expensive,82
34240,tells,82
16028,fed,82
14585,edit,82
28694,public,82
15897,fan,81
7471,amount,81
8621,awesome,81
6731,accidentally,81
21830,kept,81
6802,act,81
29800,recognize,81
37603,weather,81
19827,image,81
14923,enabled,81
10891,charges,81
35470,typed,81
13949,double,81
10766,celular,81
37532,watching,81
32444,smart,81
18385,hang,81
3351,45,80
31184,safe,80
15404,everywhere,80
38100,woke,80
13476,disappearing,80
14987,english,80
31788,setup,80
9917,brick,80
1900,25,80
30295,reservation,79
31483,screenshots,79
843,14,79
20205,insane,79
11941,correcting,79
7968,application,79
15392,everyday,79
30503,revert,79
31758,services,79
